Class_attendance,LA2SS,LA3SS,LA4SS,LA5SS,LA6SS,QA2SS,QA3SS,QA4SS,QA5SS,QA6SS,EC2SS,EC3SS,EC4SS,EC5SS,EC6SS,DS3S,DS4S,DS5S,DS6S,AS5S,AS6S,sessional_marks,project_marks,Logical_Ability,Quantitative_Ability,English_Comprehension,Domain_Knowledge,Automata_Programming,placement_status
44.0,0.0,275.0,335.0,0.0,0.0,0.0,145.0,460.0,0.0,0.0,0.0,420.0,500.0,0.0,0.0,420.0,300.0,0.0,0.0,0.0,4.0,37.0,25.0,122.0,121.0,184.0,180.0,2.0,Minimal Chance
55.0,450.0,470.0,725.0,620.0,54.0,435.0,760.0,400.0,705.0,76.0,410.0,565.0,615.0,525.0,63.0,367.0,420.0,380.0,53.0,0.0,0.0,80.9,45.0,463.8,475.2,435.6,305.0,0.0,Minimal Chance
53.0,615.0,410.0,485.0,510.0,55.0,490.0,390.0,390.0,395.0,38.0,530.0,565.0,460.0,470.0,43.0,367.0,300.0,260.0,34.0,0.0,14.0,67.0,37.0,415.0,340.6,413.6,240.25,7.0,Minimal Chance
52.0,650.0,595.0,0.0,675.0,69.0,375.0,270.0,0.0,480.0,0.0,465.0,510.0,0.0,575.0,63.0,633.0,0.0,380.0,68.0,0.0,0.0,82.0,45.0,397.8,225.0,322.6,270.25,0.0,Minimal Chance
73.0,275.0,0.0,440.0,0.0,0.0,470.0,0.0,280.0,0.0,0.0,390.0,0.0,525.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,14.0,52.0,30.0,143.0,150.0,183.0,105.0,7.0,Minimal Chance
63.0,0.0,455.0,505.0,525.0,61.0,0.0,530.0,395.0,410.0,65.0,0.0,400.0,570.0,440.0,47.0,313.0,260.0,540.0,49.0,0.0,0.0,74.0,47.0,309.2,280.0,291.4,290.5,0.0,Minimal Chance
67.0,535.0,335.0,400.0,400.0,56.0,345.0,290.0,450.0,270.0,34.0,370.0,320.0,360.0,440.0,36.0,473.0,300.0,17.0,33.0,0.0,4.0,70.90814814814816,42.91111111111111,345.2,277.8,305.2,205.75,2.0,Minimal Chance
45.0,395.0,320.0,0.0,0.0,0.0,465.0,190.0,0.0,0.0,0.0,410.0,315.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,4.0,70.90814814814816,42.91111111111111,143.0,131.0,145.0,78.25,2.0,Minimal Chance
73.0,515.0,430.0,540.0,465.0,0.0,330.0,380.0,415.0,440.0,0.0,435.0,415.0,495.0,370.0,0.0,420.0,260.0,420.0,0.0,0.0,0.0,76.0,43.0,390.0,313.0,343.0,275.0,0.0,Minimal Chance
46.0,500.0,610.0,690.0,420.0,50.0,440.0,720.0,630.0,440.0,73.0,350.0,555.0,540.0,525.0,76.0,420.0,540.0,540.0,71.0,0.0,0.0,82.0,48.0,454.0,460.6,409.2,392.75,0.0,Minimal Chance
55.0,405.0,335.0,235.0,310.0,38.0,320.0,195.0,335.0,350.0,29.0,330.0,345.0,400.0,420.0,32.0,420.0,300.0,300.0,21.0,0.0,0.0,74.0,42.0,264.6,245.8,305.4,260.25,0.0,Minimal Chance
78.0,0.0,395.0,0.0,495.0,54.0,0.0,370.0,0.0,475.0,44.0,0.0,535.0,0.0,535.0,44.0,687.0,0.0,340.0,35.0,0.0,0.0,72.0,45.0,188.8,177.8,222.8,265.5,0.0,Minimal Chance
65.0,470.0,430.0,425.0,390.0,0.0,345.0,220.0,335.0,435.0,0.0,395.0,390.0,405.0,410.0,0.0,420.0,340.0,260.0,0.0,0.0,0.0,84.0,46.0,343.0,267.0,320.0,255.0,0.0,Minimal Chance
65.0,520.0,395.0,-1.0,-1.0,47.0,335.0,290.0,465.0,-1.0,0.0,325.0,425.0,370.0,380.0,43.0,473.0,300.0,180.0,38.0,0.0,0.0,68.0,43.0,192.0,217.8,308.6,247.75,0.0,Minimal Chance
65.0,365.0,335.0,395.0,-1.0,0.0,345.0,175.0,415.0,300.0,0.0,335.0,325.0,300.0,340.0,0.0,367.0,300.0,260.0,0.0,13.0,0.0,67.0,39.0,218.8,247.0,260.0,231.75,6.5,Minimal Chance
43.0,285.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,57.0,80.0,82.0,0.0,0.0,Minimal Chance
54.0,405.0,285.0,480.0,565.0,44.0,355.0,480.0,395.0,380.0,39.0,355.0,290.0,380.0,340.0,44.0,260.0,260.0,500.0,35.0,0.0,0.0,69.0,43.0,355.8,329.8,281.8,263.75,0.0,Minimal Chance
73.0,0.0,445.0,550.0,0.0,57.0,0.0,450.0,385.0,0.0,49.0,0.0,470.0,585.0,0.0,55.0,473.0,340.0,0.0,53.0,0.0,0.0,73.0,43.0,210.4,176.8,222.0,216.5,0.0,Minimal Chance
43.0,0.0,290.0,390.0,0.0,0.0,0.0,250.0,340.0,0.0,0.0,0.0,300.0,395.0,0.0,0.0,207.0,340.0,0.0,0.0,0.0,14.0,70.90814814814816,42.91111111111111,136.0,118.0,139.0,136.75,7.0,Minimal Chance
22.0,440.0,405.0,415.0,330.0,29.0,355.0,370.0,340.0,400.0,30.0,345.0,395.0,440.0,500.0,42.0,527.0,180.0,260.0,23.0,0.0,14.0,65.0,38.0,323.8,299.0,344.4,247.5,7.0,Minimal Chance
21.0,425.0,380.0,0.0,455.0,52.0,325.0,395.0,0.0,435.0,0.0,360.0,380.0,0.0,345.0,28.0,367.0,0.0,260.0,45.0,3.0,45.0,75.0,43.0,262.4,231.0,222.6,168.0,24.0,Minimal Chance
43.0,530.0,440.0,0.0,0.0,58.0,410.0,320.0,0.0,0.0,49.0,415.0,450.0,0.0,0.0,30.0,153.0,0.0,0.0,31.0,0.0,0.0,69.0,41.0,205.6,155.8,179.0,46.0,0.0,Minimal Chance
34.0,400.0,285.0,475.0,465.0,45.0,325.0,210.0,510.0,390.0,37.0,345.0,430.0,420.0,415.0,35.0,313.0,180.0,500.0,60.0,0.0,0.0,69.0,41.0,334.0,294.4,329.0,263.25,0.0,Minimal Chance
44.0,0.0,225.0,340.0,320.0,33.0,0.0,155.0,330.0,390.0,30.0,0.0,400.0,480.0,435.0,48.0,420.0,460.0,260.0,24.0,0.0,29.0,70.0,41.0,183.6,181.0,272.6,291.0,14.5,Minimal Chance
45.0,440.0,380.0,410.0,460.0,48.0,300.0,280.0,340.0,320.0,41.0,330.0,430.0,340.0,360.0,32.0,420.0,220.0,380.0,31.0,14.0,100.0,68.0,43.0,347.6,256.2,298.4,262.75,57.0,Minimal Chance
43.0,0.0,395.0,430.0,395.0,0.0,0.0,210.0,360.0,390.0,0.0,0.0,485.0,420.0,415.0,0.0,420.0,220.0,180.0,0.0,0.0,0.0,67.0,45.0,244.0,192.0,264.0,205.0,0.0,Minimal Chance
58.0,0.0,275.0,445.0,0.0,0.0,0.0,225.0,360.0,0.0,0.0,0.0,290.0,375.0,0.0,0.0,207.0,260.0,0.0,0.0,1.0909090909090908,13.83206106870229,66.9,49.0,144.0,117.0,133.0,116.75,7.461485079805691,Minimal Chance
43.0,430.0,470.0,425.0,465.0,59.0,425.0,305.0,435.0,540.0,41.0,365.0,375.0,365.0,385.0,43.0,473.0,300.0,380.0,56.0,1.0909090909090908,13.83206106870229,79.0,47.0,369.8,349.2,306.6,302.25,7.461485079805691,Minimal Chance
45.0,250.0,0.0,355.0,0.0,0.0,410.0,0.0,335.0,0.0,0.0,360.0,0.0,370.0,0.0,0.0,0.0,300.0,0.0,0.0,1.0909090909090908,13.83206106870229,60.0,46.0,121.0,149.0,146.0,75.0,7.461485079805691,Minimal Chance
56.0,380.0,340.0,0.0,0.0,43.0,295.0,210.0,0.0,0.0,32.0,415.0,495.0,0.0,0.0,38.0,367.0,0.0,0.0,38.0,1.0909090909090908,13.83206106870229,72.0,43.0,152.6,107.4,189.6,101.25,7.461485079805691,Minimal Chance
55.0,685.0,410.0,-1.0,555.0,61.0,455.0,520.0,470.0,465.0,47.0,545.0,435.0,410.0,415.0,38.0,420.0,380.0,300.0,34.0,1.0909090909090908,13.83206106870229,74.0,43.0,342.0,391.4,368.6,283.5,7.461485079805691,Minimal Chance
55.0,595.0,520.0,640.0,625.0,0.0,565.0,615.0,600.0,580.0,0.0,450.0,440.0,610.0,530.0,0.0,473.0,380.0,420.0,0.0,1.0909090909090908,13.83206106870229,75.0,47.0,476.0,472.0,406.0,318.25,7.461485079805691,Minimal Chance
65.0,450.0,445.0,525.0,600.0,48.0,500.0,415.0,405.0,660.0,81.0,395.0,380.0,415.0,455.0,44.0,367.0,540.0,380.0,69.0,1.0909090909090908,13.83206106870229,87.0,47.0,413.6,412.2,337.8,339.0,7.461485079805691,Minimal Chance
54.0,0.0,345.0,0.0,415.0,50.0,0.0,245.0,0.0,-1.0,32.0,0.0,315.0,0.0,345.0,35.0,527.0,0.0,260.0,52.0,1.0909090909090908,13.83206106870229,77.0,41.0,162.0,55.2,139.0,209.75,7.461485079805691,Minimal Chance
43.0,405.0,380.0,0.0,460.0,53.0,355.0,345.0,0.0,390.0,39.0,380.0,550.0,0.0,500.0,48.0,420.0,0.0,300.0,43.0,1.0909090909090908,13.83206106870229,65.0,38.0,259.6,225.8,295.6,190.75,7.461485079805691,Minimal Chance
67.0,530.0,445.0,565.0,545.0,59.0,485.0,310.0,500.0,550.0,54.0,565.0,560.0,540.0,530.0,40.0,367.0,340.0,420.0,39.0,1.0909090909090908,13.83206106870229,73.0,47.0,428.8,379.8,447.0,291.5,7.461485079805691,Minimal Chance
67.0,355.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,13.83206106870229,58.0,35.0,71.0,51.0,73.0,0.0,7.461485079805691,Minimal Chance
78.0,530.0,415.0,505.0,610.0,65.0,505.0,310.0,510.0,515.0,64.0,460.0,395.0,445.0,380.0,54.0,580.0,380.0,460.0,44.0,1.0909090909090908,13.83206106870229,87.0,49.0,425.0,380.8,346.8,366.0,7.461485079805691,Minimal Chance
45.0,0.0,390.0,550.0,475.0,43.0,0.0,345.0,240.0,385.0,44.0,0.0,350.0,335.0,435.0,26.0,367.0,420.0,300.0,18.0,1.0909090909090908,13.83206106870229,74.0,45.0,291.6,202.8,229.2,276.25,7.461485079805691,Minimal Chance
55.0,530.0,420.0,515.0,570.0,58.0,450.0,375.0,370.0,490.0,42.0,375.0,360.0,420.0,475.0,41.0,420.0,340.0,300.0,51.0,1.0909090909090908,13.83206106870229,90.0,49.0,418.6,345.4,334.2,277.75,7.461485079805691,Minimal Chance
54.0,495.0,385.0,630.0,545.0,53.0,370.0,310.0,385.0,425.0,38.0,425.0,525.0,460.0,480.0,56.0,473.0,340.0,260.0,33.0,1.0909090909090908,13.83206106870229,58.0,25.0,421.6,305.6,389.2,276.5,7.461485079805691,Minimal Chance
41.0,290.0,355.0,380.0,0.0,44.0,375.0,420.0,465.0,0.0,48.0,325.0,370.0,455.0,0.0,38.0,527.0,220.0,0.0,38.0,1.0909090909090908,13.83206106870229,77.0,45.0,213.8,261.6,237.6,196.25,7.461485079805691,Minimal Chance
78.0,585.0,565.0,540.0,425.0,62.0,480.0,675.0,555.0,755.0,48.0,300.0,605.0,470.0,640.0,47.0,847.0,300.0,420.0,20.0,1.0909090909090908,13.83206106870229,70.0,40.0,435.4,502.6,412.4,396.75,7.461485079805691,Minimal Chance
56.0,515.0,455.0,515.0,580.0,0.0,495.0,265.0,460.0,445.0,0.0,590.0,415.0,580.0,540.0,0.0,580.0,460.0,380.0,0.0,1.0909090909090908,13.83206106870229,93.0,49.0,413.0,333.0,425.0,355.0,7.461485079805691,Minimal Chance
88.0,490.0,460.0,535.0,450.0,56.0,430.0,295.0,390.0,405.0,41.0,370.0,430.0,455.0,390.0,51.0,260.0,220.0,420.0,31.0,1.0909090909090908,13.83206106870229,80.0,44.0,398.2,312.2,339.2,232.75,7.461485079805691,Minimal Chance
32.0,420.0,300.0,385.0,0.0,0.0,325.0,130.0,-1.0,0.0,0.0,410.0,335.0,310.0,0.0,0.0,367.0,420.0,0.0,0.0,1.0909090909090908,13.83206106870229,78.0,45.0,221.0,90.8,211.0,196.75,7.461485079805691,Minimal Chance
82.0,620.0,480.0,625.0,535.0,64.0,525.0,445.0,585.0,415.0,54.0,435.0,425.0,520.0,575.0,58.0,473.0,340.0,380.0,41.0,1.0909090909090908,13.83206106870229,73.0,45.0,464.8,404.8,402.6,308.5,7.461485079805691,Minimal Chance
53.0,530.0,375.0,330.0,0.0,49.0,375.0,370.0,400.0,0.0,36.0,450.0,415.0,570.0,0.0,40.0,313.0,420.0,0.0,28.0,1.0909090909090908,13.83206106870229,65.0,47.0,256.8,236.2,295.0,190.25,7.461485079805691,Minimal Chance
90.0,430.0,485.0,575.0,390.0,38.0,355.0,265.0,555.0,465.0,28.0,405.0,540.0,335.0,450.0,41.0,740.0,300.0,220.0,46.0,1.0909090909090908,13.83206106870229,67.0,40.0,383.6,333.6,354.2,326.5,7.461485079805691,Minimal Chance
67.0,405.0,295.0,445.0,0.0,24.0,415.0,270.0,360.0,0.0,28.0,465.0,400.0,330.0,0.0,43.0,420.0,300.0,0.0,30.0,1.0909090909090908,13.83206106870229,69.0,40.0,233.8,214.6,247.6,187.5,7.461485079805691,Minimal Chance
45.0,500.0,425.0,0.0,520.0,33.0,320.0,275.0,0.0,365.0,33.0,425.0,510.0,0.0,495.0,36.0,313.0,0.0,260.0,23.0,1.0909090909090908,13.83206106870229,67.0,40.0,295.6,198.6,293.2,149.0,7.461485079805691,Minimal Chance
65.0,420.0,430.0,440.0,510.0,41.0,320.0,265.0,380.0,445.0,26.0,420.0,415.0,500.0,475.0,40.0,527.0,300.0,380.0,36.0,1.0909090909090908,13.83206106870229,62.0,42.0,368.2,287.2,370.0,310.75,7.461485079805691,Minimal Chance
55.0,0.0,390.0,325.0,440.0,38.0,0.0,365.0,310.0,410.0,32.0,0.0,360.0,360.0,340.0,29.0,313.0,380.0,300.0,41.0,1.0909090909090908,13.83206106870229,74.0,42.0,238.6,223.4,217.8,258.5,7.461485079805691,Minimal Chance
54.0,425.0,405.0,0.0,370.0,54.0,390.0,330.0,0.0,395.0,36.0,535.0,460.0,0.0,475.0,45.0,420.0,0.0,380.0,29.0,1.0909090909090908,13.83206106870229,63.0,40.0,250.8,230.2,303.0,207.25,7.461485079805691,Minimal Chance
66.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,415.0,0.0,30.0,0.0,0.0,0.0,0.0,34.0,0.0,445.0,0.0,35.0,1.0909090909090908,13.83206106870229,70.90814814814816,42.91111111111111,9.2,89.0,6.8,120.0,7.461485079805691,Minimal Chance
54.0,0.0,270.0,480.0,405.0,63.0,0.0,300.0,445.0,365.0,45.0,0.0,-1.0,395.0,535.0,48.0,260.0,140.0,25.0,42.0,1.0909090909090908,13.83206106870229,70.90814814814816,42.91111111111111,243.6,231.0,195.4,116.75,7.461485079805691,Minimal Chance
55.0,270.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,13.83206106870229,34.0,25.0,54.0,75.0,90.0,0.0,7.461485079805691,Minimal Chance
32.0,340.3680981595092,358.47852760736197,306.88957055214723,301.2515337423313,33.11656441717791,286.25766871165644,295.7914110429448,281.4846625766871,266.0122699386503,26.190184049079754,303.4355828220859,379.12883435582825,309.5644171779141,293.22085889570553,29.05521472392638,368.84662576687117,242.4723926380368,201.01226993865032,26.085889570552148,1.0909090909090908,13.83206106870229,70.90814814814816,42.91111111111111,268.02085889570554,231.1472392638037,262.88098159509207,209.6042944785276,7.461485079805691,Minimal Chance
54.0,340.3680981595092,358.47852760736197,306.88957055214723,301.2515337423313,33.11656441717791,286.25766871165644,295.7914110429448,281.4846625766871,266.0122699386503,26.190184049079754,303.4355828220859,379.12883435582825,309.5644171779141,293.22085889570553,29.05521472392638,368.84662576687117,242.4723926380368,201.01226993865032,26.085889570552148,1.0909090909090908,13.83206106870229,70.90814814814816,42.91111111111111,268.02085889570554,231.1472392638037,262.88098159509207,209.6042944785276,7.461485079805691,Minimal Chance
34.0,340.3680981595092,358.47852760736197,306.88957055214723,301.2515337423313,33.11656441717791,286.25766871165644,295.7914110429448,281.4846625766871,266.0122699386503,26.190184049079754,303.4355828220859,379.12883435582825,309.5644171779141,293.22085889570553,29.05521472392638,368.84662576687117,242.4723926380368,201.01226993865032,26.085889570552148,1.0909090909090908,13.83206106870229,70.90814814814816,42.91111111111111,268.02085889570554,231.1472392638037,262.88098159509207,209.6042944785276,7.461485079805691,Minimal Chance
54.0,340.3680981595092,358.47852760736197,306.88957055214723,301.2515337423313,33.11656441717791,286.25766871165644,295.7914110429448,281.4846625766871,266.0122699386503,26.190184049079754,303.4355828220859,379.12883435582825,309.5644171779141,293.22085889570553,29.05521472392638,368.84662576687117,242.4723926380368,201.01226993865032,26.085889570552148,1.0909090909090908,13.83206106870229,70.90814814814816,42.91111111111111,268.02085889570554,231.1472392638037,262.88098159509207,209.6042944785276,7.461485079805691,Minimal Chance
0.0,340.3680981595092,358.47852760736197,306.88957055214723,301.2515337423313,33.11656441717791,286.25766871165644,295.7914110429448,281.4846625766871,266.0122699386503,26.190184049079754,303.4355828220859,379.12883435582825,309.5644171779141,293.22085889570553,29.05521472392638,368.84662576687117,242.4723926380368,201.01226993865032,26.085889570552148,1.0909090909090908,13.83206106870229,70.90814814814816,42.91111111111111,268.02085889570554,231.1472392638037,262.88098159509207,209.6042944785276,7.461485079805691,Minimal Chance
