Class_attendance,LA2SS,LA3SS,LA4SS,LA5SS,LA6SS,QA2SS,QA3SS,QA4SS,QA5SS,QA6SS,EC2SS,EC3SS,EC4SS,EC5SS,EC6SS,DS3S,DS4S,DS5S,DS6S,AS5S,AS6S,sessional_marks,project_marks,Logical_Ability,Quantitative_Ability,English_Comprehension,Domain_Knowledge,Automata_Programming,placement_status
34.0,0.0,370.0,435.0,465.0,0.0,0.0,315.0,420.0,350.0,35.0,0.0,360.0,410.0,375.0,39.0,260.0,260.0,420.0,52.0,0.0,9.0,71.1,47.0,254.0,224.0,236.8,248.0,4.5,Minimal Chance
76.0,575.0,455.0,620.0,640.0,74.0,470.0,520.0,410.0,585.0,53.0,350.0,525.0,455.0,525.0,44.0,260.0,380.0,260.0,48.0,0.0,0.0,78.9,43.0,472.8,407.6,379.8,237.0,0.0,Minimal Chance
67.0,0.0,-2.0,-2.0,370.0,0.0,0.0,-2.0,-2.0,335.0,0.0,0.0,-1.0,-1.0,340.0,0.0,-2.0,-2.0,220.0,0.0,0.0,0.0,66.9,42.0,73.2,66.2,67.6,54.0,0.0,Minimal Chance
56.0,0.0,345.0,245.0,330.0,61.0,0.0,235.0,340.0,360.0,29.0,0.0,410.0,330.0,335.0,41.0,527.0,420.0,300.0,18.0,0.0,0.0,69.9,44.0,196.2,192.8,223.2,316.25,0.0,Minimal Chance
34.0,560.0,505.0,520.0,605.0,53.0,440.0,275.0,465.0,485.0,38.0,395.0,400.0,360.0,370.0,41.0,313.0,340.0,260.0,34.0,0.0,0.0,70.90814814814816,42.91111111111111,448.6,340.6,313.2,236.75,0.0,Minimal Chance
56.0,615.0,490.0,645.0,535.0,77.0,585.0,565.0,570.0,595.0,69.0,430.0,385.0,415.0,475.0,76.0,580.0,460.0,380.0,59.0,0.0,0.0,84.5,47.0,472.4,476.8,356.2,369.75,0.0,Minimal Chance
78.0,495.0,565.0,555.0,560.0,54.0,405.0,570.0,435.0,515.0,58.0,530.0,530.0,500.0,565.0,43.0,473.0,260.0,340.0,29.0,0.0,0.0,84.5,44.0,445.8,396.6,433.6,275.5,0.0,Minimal Chance
11.0,395.0,340.0,0.0,0.0,0.0,330.0,365.0,0.0,0.0,0.0,370.0,375.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,64.0,55.1,43.0,147.0,139.0,149.0,118.25,32.0,Minimal Chance
10.0,325.0,315.0,0.0,0.0,0.0,375.0,275.0,0.0,0.0,0.0,290.0,420.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,128.0,130.0,142.0,38.25,0.0,Minimal Chance
67.0,300.0,245.0,275.0,275.0,31.0,425.0,145.0,280.0,395.0,35.0,445.0,345.0,360.0,390.0,32.0,260.0,260.0,260.0,22.0,0.0,0.0,80.0,42.0,225.2,256.0,314.4,200.5,0.0,Minimal Chance
